To_Location,From_Location,Product,Lead_Time_Days,Lead_Time_Std_Dev,,
DEH1,DEW1,NEUDRO3,8.5,3.34,,
DEF1,LUEX,NEUDRO3,8.4,5.14,,
DEF2,LUEX,NEUDRO3,5.8,2.38,,
FRM1,LUEX,NEUDRO3,9.7,5.86,,
GBE1,LUEX,NEUDRO3,10,1.41,,
GBM1,LUEX,NEUDRO3,10,1.41,,
LUGI,LUEX,NEUDRO3,0.8,1.47,,
LUL1,LUEX,NEUDRO3,0.8,1.47,,
BEEX,B616,NEUDRO7,137,32.4,,
PLPL,B616,NEUDRO7,3,1,,
RSKR,B616,NEUDRO7,157,28.48,,
SIS1,B616,NEUDRO7,157,26.15,,
TRTU,B616,NEUDRO7,160,26.33,,
TRTZ,B616,NEUDRO7,160,22.4,,
ZASA,B616,NEUDRO7,116,8,,
DEW1,BEEX,NEUDRO7,4.7,2.56,,
LUEX,BEEX,NEUDRO7,4.2,1.5,,
DEH1,DEW1,NEUDRO7,8.5,3.34,,
DEF1,LUEX,NEUDRO7,8.4,5.14,,
DEF2,LUEX,NEUDRO7,5.8,2.38,,
FRA1,LUEX,NEUDRO7,15.5,10.6,,
FRM1,LUEX,NEUDRO7,9.7,5.86,,
GBE1,LUEX,NEUDRO7,10,1.41,,
GBM1,LUEX,NEUDRO7,10,1.41,,
LUGI,LUEX,NEUDRO7,0.8,1.47,,
LUL1,LUEX,NEUDRO7,0.8,1.47,,
BEEX,B616,NEUDRO8,137,32.4,,
PLPL,B616,NEUDRO8,3,1,,
RSKR,B616,NEUDRO8,157,28.48,,
SIS1,B616,NEUDRO8,157,26.15,,
TRTU,B616,NEUDRO8,160,26.33,,
TRTZ,B616,NEUDRO8,160,22.4,,
ZASA,B616,NEUDRO8,116,8,,
DEW1,BEEX,NEUDRO8,4.7,2.56,,
LUEX,BEEX,NEUDRO8,4.2,1.5,,
DEH1,DEW1,NEUDRO8,8.5,3.34,,
DEF1,LUEX,NEUDRO8,8.4,5.14,,
DEF2,LUEX,NEUDRO8,5.8,2.38,,
FRA1,LUEX,NEUDRO8,15.5,10.6,,
FRM1,LUEX,NEUDRO8,9.7,5.86,,
GBE1,LUEX,NEUDRO8,10,1.41,,
GBM1,LUEX,NEUDRO8,10,1.41,,
LUGI,LUEX,NEUDRO8,0.8,1.47,,
LUL1,LUEX,NEUDRO8,0.8,1.47,,
BEEX,B616,NIMBO,137,32.4,,
PLPL,B616,NIMBO,3,1,,
RSKR,B616,NIMBO,157,28.48,,
SIS1,B616,NIMBO,157,26.15,,
TRTU,B616,NIMBO,160,26.33,,
TRTZ,B616,NIMBO,160,22.4,,
ZASA,B616,NIMBO,116,8,,
DEW1,BEEX,NIMBO,4.7,2.56,,
LUEX,BEEX,NIMBO,4.2,1.5,,
DEH1,DEW1,NIMBO,8.5,3.34,,
DEF1,LUEX,NIMBO,8.4,5.14,,
DEF2,LUEX,NIMBO,5.8,2.38,,
FRA1,LUEX,NIMBO,15.5,10.6,,
FRM1,LUEX,NIMBO,9.7,5.86,,
GBE1,LUEX,NIMBO,10,1.41,,
GBM1,LUEX,NIMBO,10,1.41,,
LUGI,LUEX,NIMBO,0.8,1.47,,
LUL1,LUEX,NIMBO,0.8,1.47,,
BEEX,B616,NIMBO5,137,32.4,,
PLPL,B616,NIMBO5,3,1,,
RSKR,B616,NIMBO5,157,28.48,,
SIS1,B616,NIMBO5,157,26.15,,
TRTU,B616,NIMBO5,160,26.33,,
TRTZ,B616,NIMBO5,160,22.4,,
ZASA,B616,NIMBO5,116,8,,
DEW1,BEEX,NIMBO5,4.7,2.56,,
LUEX,BEEX,NIMBO5,4.2,1.5,,
DEH1,DEW1,NIMBO5,8.5,3.34,,
DEF1,LUEX,NIMBO5,8.4,5.14,,
DEF2,LUEX,NIMBO5,5.8,2.38,,
FRA1,LUEX,NIMBO5,15.5,10.6,,
FRM1,LUEX,NIMBO5,9.7,5.86,,
GBE1,LUEX,NIMBO5,10,1.41,,
